#reqtime=1732320360.978,2024-11-23 00:06:00.978,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=360&dataTypes.0=1104.7235723519698&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,OUTL_east,OUTL_north,OUTL_up
1217332800.000,2008-07-29 12:00:00,        -0.295103,         0.188389,         0.418736
1217419200.000,2008-07-30 12:00:00,        -0.295285,         0.184410,         0.439291
1217505600.000,2008-07-31 12:00:00,        -0.290400,         0.188017,         0.436183
1217592000.000,2008-08-01 12:00:00,        -0.290923,         0.187050,         0.446010
1217678400.000,2008-08-02 12:00:00,        -0.287993,         0.191114,         0.450625
1217764800.000,2008-08-03 12:00:00,        -0.290019,         0.192113,         0.447457
1217851200.000,2008-08-04 12:00:00,        -0.288702,         0.189078,         0.426573
1217937600.000,2008-08-05 12:00:00,        -0.285958,         0.189637,         0.443071
1218024000.000,2008-08-06 12:00:00,        -0.286720,         0.191382,         0.442772
1218110400.000,2008-08-07 12:00:00,        -0.292788,         0.193088,         0.435157
1218196800.000,2008-08-08 12:00:00,        -0.289747,         0.192851,         0.419579
1218283200.000,2008-08-09 12:00:00,        -0.293902,         0.189076,         0.429712
1218369600.000,2008-08-10 12:00:00,        -0.292152,         0.185225,         0.433686
1218456000.000,2008-08-11 12:00:00,        -0.290222,         0.187398,         0.421788
1218542400.000,2008-08-12 12:00:00,        -0.290346,         0.190933,         0.426069
1218628800.000,2008-08-13 12:00:00,        -0.287435,         0.188607,         0.438116
1218715200.000,2008-08-14 12:00:00,        -0.288644,         0.192489,         0.427239
1218801600.000,2008-08-15 12:00:00,        -0.290331,         0.192207,         0.424080
1218888000.000,2008-08-16 12:00:00,        -0.290713,         0.188042,         0.425851
1218974400.000,2008-08-17 12:00:00,        -0.290883,         0.192879,         0.426932
1219060800.000,2008-08-18 12:00:00,        -0.290680,         0.190615,         0.425106
1219147200.000,2008-08-19 12:00:00,        -0.289912,         0.189581,         0.439519
1219233600.000,2008-08-20 12:00:00,        -0.290648,         0.192178,         0.423569
1219320000.000,2008-08-21 12:00:00,        -0.289315,         0.193122,         0.430001
1219406400.000,2008-08-22 12:00:00,        -0.283618,         0.190268,         0.416940
1219492800.000,2008-08-23 12:00:00,        -0.281755,         0.190007,         0.425542
1219579200.000,2008-08-24 12:00:00,        -0.287561,         0.186851,         0.425700
1219665600.000,2008-08-25 12:00:00,        -0.283188,         0.183776,         0.419850
1219752000.000,2008-08-26 12:00:00,        -0.286442,         0.187429,         0.432034
1219838400.000,2008-08-27 12:00:00,        -0.286616,         0.189269,         0.413859
1219924800.000,2008-08-28 12:00:00,        -0.282656,         0.189607,         0.430612
1220011200.000,2008-08-29 12:00:00,        -0.288118,         0.191933,         0.431828
1220097600.000,2008-08-30 12:00:00,        -0.284724,         0.194909,         0.430410
1220184000.000,2008-08-31 12:00:00,        -0.287945,         0.196349,         0.407511
1220270400.000,2008-09-01 12:00:00,        -0.289589,         0.192169,         0.433117
1220356800.000,2008-09-02 12:00:00,        -0.286446,         0.194046,         0.417932
1220443200.000,2008-09-03 12:00:00,        -0.289534,         0.190517,         0.427108
1220529600.000,2008-09-04 12:00:00,        -0.287726,         0.191549,         0.418799
1220616000.000,2008-09-05 12:00:00,        -0.285906,         0.191752,         0.420471
1220702400.000,2008-09-06 12:00:00,        -0.286493,         0.190517,         0.419664
