#reqtime=1732320250.324,2024-11-23 00:04:10.324,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=443&dataTypes.0=939.655523352325&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,CALM_east,CALM_north,CALM_up
1560686400.000,2019-06-16 12:00:00,        -0.073853,        -0.085744,        -0.436449
1560772800.000,2019-06-17 12:00:00,        -0.073830,        -0.088285,        -0.413493
1560859200.000,2019-06-18 12:00:00,        -0.072512,        -0.085631,        -0.431845
1560945600.000,2019-06-19 12:00:00,        -0.070504,        -0.084695,        -0.416530
1561032000.000,2019-06-20 12:00:00,        -0.070851,        -0.079030,        -0.416470
1561118400.000,2019-06-21 12:00:00,        -0.072533,        -0.087462,        -0.415610
1561204800.000,2019-06-22 12:00:00,        -0.072427,        -0.088105,        -0.417312
1561291200.000,2019-06-23 12:00:00,        -0.071750,        -0.089267,        -0.420199
1561377600.000,2019-06-24 12:00:00,        -0.074743,        -0.086560,        -0.413378
1561464000.000,2019-06-25 12:00:00,        -0.072444,        -0.089920,        -0.403579
1561550400.000,2019-06-26 12:00:00,        -0.072368,        -0.090667,        -0.408626
1561636800.000,2019-06-27 12:00:00,        -0.072702,        -0.089647,        -0.406509
1561723200.000,2019-06-28 12:00:00,        -0.072855,        -0.087775,        -0.413397
1561896000.000,2019-06-30 12:00:00,        -0.075559,        -0.089254,        -0.409711
1561982400.000,2019-07-01 12:00:00,        -0.071687,        -0.085151,        -0.408364
